,split,aptamer_encoder,molecule_encoder,ROC-AUC mean,ROC-AUC std,MCC mean,MCC std,best_params
0,stratified,OneHot,MorganFP,0.9485235748213288,0.0021105326553884124,0.7728311334841076,0.012911068692903878,"{'n_estimators': 513, 'learning_rate': 0.07147630029250514, 'num_leaves': 171, 'max_depth': 9, 'subsample': 0.7950297020249032, 'colsample_bytree': 0.6033525310865467, 'reg_lambda': 0.25802453535690745}"
1,stratified,OneHot,MACCS,0.9450079709652484,0.003004927430136677,0.7618787886892874,0.005916777983006711,"{'n_estimators': 418, 'learning_rate': 0.015368890038690408, 'num_leaves': 228, 'max_depth': 0, 'subsample': 0.7131558523155187, 'colsample_bytree': 0.7857811969766754, 'reg_lambda': 0.47813241459604744}"
2,stratified,OneHot,PhysChem,0.9486186304306173,0.002541412607464001,0.7756069450604856,0.010757816821920181,"{'n_estimators': 565, 'learning_rate': 0.012915511646484789, 'num_leaves': 116, 'max_depth': 19, 'subsample': 0.637532753038293, 'colsample_bytree': 0.6576672647237662, 'reg_lambda': 0.09785460442373993}"
3,stratified,OneHot,ChemBERTa,0.9466760603434106,0.004464455372572002,0.7639224172921083,0.019896369515410933,"{'n_estimators': 678, 'learning_rate': 0.02188998452155026, 'num_leaves': 129, 'max_depth': 10, 'subsample': 0.771903390433312, 'colsample_bytree': 0.7480628722766494, 'reg_lambda': 0.0019460069958889485}"
4,stratified,OneHot,UniMol,0.9443410115964508,0.0036986051748100915,0.7626920488610728,0.01855373784166903,"{'n_estimators': 352, 'learning_rate': 0.01678095124639743, 'num_leaves': 99, 'max_depth': 14, 'subsample': 0.8345079144381757, 'colsample_bytree': 0.8204292068008667, 'reg_lambda': 2.4174032529412823}"
5,stratified,OneHot,MolFormer,0.94675339872016,0.0024986196761261578,0.7730234316668241,0.013229799346387038,"{'n_estimators': 869, 'learning_rate': 0.028058553393775037, 'num_leaves': 169, 'max_depth': 7, 'subsample': 0.6717944272908238, 'colsample_bytree': 0.5407856383622742, 'reg_lambda': 9.424640722547911}"
6,stratified,Kmer3,MorganFP,0.9519175528736431,0.002067542986987568,0.7695180051596836,0.01164348326509204,"{'n_estimators': 559, 'learning_rate': 0.02089988854713618, 'num_leaves': 167, 'max_depth': 18, 'subsample': 0.9711746055150143, 'colsample_bytree': 0.6071136832782136, 'reg_lambda': 0.46296912308770677}"
7,stratified,Kmer3,MACCS,0.9453605714106441,0.0022429407505065863,0.7593606546128264,0.0037337512719756933,"{'n_estimators': 692, 'learning_rate': 0.012771718252639726, 'num_leaves': 71, 'max_depth': 20, 'subsample': 0.7389290733533511, 'colsample_bytree': 0.9986603624033893, 'reg_lambda': 0.03489228083982931}"
8,stratified,Kmer3,PhysChem,0.9518571044940456,0.0030842234176346513,0.775013428212451,0.012106487233821215,"{'n_estimators': 473, 'learning_rate': 0.027991292818539418, 'num_leaves': 200, 'max_depth': 16, 'subsample': 0.7601117642293145, 'colsample_bytree': 0.5709312464846478, 'reg_lambda': 2.0596511592628093}"
9,stratified,Kmer3,ChemBERTa,0.9517497312746098,0.0026116101519745435,0.7748550119873787,0.008721469800924858,"{'n_estimators': 560, 'learning_rate': 0.021977876813410097, 'num_leaves': 138, 'max_depth': -1, 'subsample': 0.8941094941224443, 'colsample_bytree': 0.7871239383886695, 'reg_lambda': 0.6542692654067903}"
10,stratified,Kmer3,UniMol,0.9489061175696534,0.0034144238629215127,0.7701122378329435,0.009796714728996172,"{'n_estimators': 582, 'learning_rate': 0.014064227458485547, 'num_leaves': 146, 'max_depth': 16, 'subsample': 0.6431975653459884, 'colsample_bytree': 0.5765130619786265, 'reg_lambda': 0.006085981437943954}"
11,stratified,Kmer3,MolFormer,0.9505417344848022,0.002906923283659489,0.7780537280493252,0.00398893906962397,"{'n_estimators': 692, 'learning_rate': 0.01795334120790596, 'num_leaves': 122, 'max_depth': 11, 'subsample': 0.6713791150367571, 'colsample_bytree': 0.7281258851154465, 'reg_lambda': 0.07442045360872548}"
12,stratified,Kmer4,MorganFP,0.949672235872319,0.0012927628736599498,0.7745087332427265,0.007469158666631534,"{'n_estimators': 859, 'learning_rate': 0.02676838836375465, 'num_leaves': 104, 'max_depth': 11, 'subsample': 0.8061551860156, 'colsample_bytree': 0.7953603206215274, 'reg_lambda': 0.27800174377224085}"
13,stratified,Kmer4,MACCS,0.9468625002602675,0.001842058822436789,0.7626785179151178,0.010826029890813564,"{'n_estimators': 312, 'learning_rate': 0.08182308322758923, 'num_leaves': 134, 'max_depth': 15, 'subsample': 0.7553320691012317, 'colsample_bytree': 0.7465605286817025, 'reg_lambda': 4.300059104138279}"
14,stratified,Kmer4,PhysChem,0.9528546009602344,0.0009555312159960412,0.7796233065315754,0.004686465951523361,"{'n_estimators': 639, 'learning_rate': 0.016037141231729245, 'num_leaves': 199, 'max_depth': 18, 'subsample': 0.8760623419777303, 'colsample_bytree': 0.5623328754961354, 'reg_lambda': 0.0022986535006363456}"
15,stratified,Kmer4,ChemBERTa,0.9507928169669283,0.0032674782384829663,0.7762399239380791,0.005360487187739732,"{'n_estimators': 384, 'learning_rate': 0.1895037844590317, 'num_leaves': 168, 'max_depth': 17, 'subsample': 0.7552215606692135, 'colsample_bytree': 0.6367917539016857, 'reg_lambda': 1.0385776252007983}"
